a	art.一(个)；每一(个)；(同类事物中)任一个
dance	n.舞(蹈)；舞曲，舞会 v.跳舞;跳动
danger	n.危险;威胁;危险事物
dangerous	a.危险的，不安全的
dare	v.敢,胆敢
dark	a.黑暗的，深(色)的；隐秘的；n.无光，黑暗
darling	n.心爱的人,亲爱的
dash	v./n.冲,猛冲,突进 n.破折号
data	n.(datum的复数)资料，数据
database	n.(databank)数据库
date	n.日期,年代 v.注明…的日期 n./v.约会
daughter	n.女儿
dawn	n.黎明,拂晓 v.破晓;开始现出
day	n.天，一昼夜；白昼，白天；时期，时代
daylight	n.日光,白昼,黎明
daytime	n.白天,日间
dazzle	v.使惊奇,使倾斜;耀(眼) n.耀眼的光
dead	a.死的；无生命的；死气沉沉的 ad.完全地
deadline	n.最后期限
deadly	a.致命的;势不两立的; 极度的;必定的
deaf	a.聋的;不愿听的
deal	v.处理;做买卖,经营;分配;对待  n.交易
dealer	n.商人
dean	n.(大学)院长;主持牧师; (基督教)教长
dear	a.昂贵的；亲爱的；珍贵的  int.呵！哎呀！
death	n.死，死亡；灭亡，毁灭，死因
debate	v./n.争论,辩论
debt	n.债,债务
decade	n.十年
decay	v./n.腐朽,腐烂;衰减,衰退
deceit	n.欺骗,欺骗行为
deceive	v.欺骗,蒙蔽
December	n.十二月
decent	a.体面的;正派的,合乎礼仪的;合适的
decide	v.决定,下决心;解决,裁决
decimal	a.十进的,小数的,十进制的 n.小数
decision	n.决定,决心;决议;决策
decisive	a.决定性的
deck	n.甲板
declaration	n.宣言,宣布,声明
declare	v.宣布,宣告,声明;断言,宣称
decline	v.下降,衰落;拒绝 n.下降;斜面,倾斜,衰落


decorate	v.装饰,装璜,布置
decrease	n.减少,减小;减少量 v.减少,变少,降低
dedicate	vt.奉献;献身于
deduce	vt.(from)演绎,推断,推论
deduct	vt.扣除;演绎(推理)
deed	n.行为,行动;功绩,事迹;证书；契据
deem	v.认为,相信
deep	a.深的,深长的;深奥的;强烈的 ad.深入的,迟
deer	n.鹿
defeat	n.击败,战胜,失败 v.击败,战胜;使失败
defence	n.(defense)防御,保卫;防务工事;辩护
defect	n.过失;缺点;不足
defend	v.防守,保卫;为…辩护,为…答辩
deficiency	n.缺乏,不足;缺点,缺陷
deficit	n.赤字,逆差;亏损,亏空;不足,缺乏
define	v.给…下定义;阐述;阐释;限定,规定
definite	a.明确的;一定的;意志坚强的,立场坚定的
definition	n.定义,解释;(轮廓影像等的)清晰度;阐明;
defy	v.(公然)违抗,反抗;蔑视
degenerate	v.衰退,堕落,蜕化 a.堕落的 n.堕落者
degree	n.程度;度数;学位;等级
delay	v./n.耽搁,延迟
delegate	n.代表 vt.委派…为代表;授权;委托
delete	vt.删除
deliberate	a.深思熟虑的,故意的 vt.研讨,商讨
delicate	a.纤弱的;精致的;微妙的;灵敏的
delicious	a.美味的;美妙的;使人愉快的
delight	n.快乐,高兴 v.(使)高兴,(使)欣喜
deliver	v.交付,递送;发表,表达;释放;接生
delivery	n.递送;交付;分娩;交货;引渡
demand	n./v.要求,请求,需要(量) v.查问
democracy	n.民主,民主制,民主国家
democratic	a.民主的
demonstrate	v.论证,证实;演示,说明
denial	n.否认;拒绝;否认某事或某事实的声明
denote	vt.表示,意味着
denounce	vt.公开指责,公然抨击;谴责
dense	a.浓厚的,密集的,稠密的
density	n.密集,密度,浓度
dental	a.牙齿的；牙科(用)的
dentist	n.牙医
deny	v.否认,否定;拒绝
depart	vi.离开,起程  a.过去的,逝世的
department	n.部,局,处,科,部门;系,学部
departure	n.离开,起程
depend	v.(on)取决于,依靠,信赖,相信
dependent	a.依靠的,依赖的,从属的;随…而定的
depict	v.描绘;描写,描述
deposit	v.存放;使沉淀;付(保证金) n.存款;沉积物
depress	v.压抑,降低;使沮丧,压下
deprive	vt.剥夺,夺去,使丧失
depth	n.深，深度,深奥,深刻
deputy	n.代理人,代表 a.副的,代理的
derive	v.取得;导出;引申;来自;源自;出自
descend	v.下来,下降;遗传(指财产,气质,权利)
descendant	n.子孙,后代
descent	n.下降,降下;斜坡;血统,家世
describe	v.描述,形容
description	n.描写,形容;种类
desert	n.沙漠,不毛之地 v.抛弃,遗弃;擅离,开小差
deserve	v.应受,值得
design	v.设计;构思;绘制;图案;企图 n.设计,图样
designate	v.指明,指出;任命,指派
desirable	a.值得做的;合意的,称心的;期望得到的
desire	v./n.愿望,欲望,要求
desk	n.书桌，办公桌，服务台
desolate	a.荒凉的;孤独的 v.使荒芜
despair	n.绝望;失望;令人失望的人(事物)v.绝望
despatch	n./v.(dispatch)派遣;发送 n.急件;新闻报道
desperate	a.不顾一切的，铤而走险的；绝望的，危急的
despise	v.轻视,蔑视
despite	prep.不管,不顾
dessert	n.正餐后的水果或甜食
destination	n.目的地,终点
destiny	n.命运;天数,天命
destroy	v.破坏,摧毁,消灭
destruction	n.毁坏，毁灭(的原因)
destructive	a.破坏性
detach	vt.分开, 分离, 分遣, 派遣(军队)
detail	n.细节,详情 v.详述
detain	v.耽搁;扣押,拘留
detect	v.察觉,发觉,侦察,探测
detective	n.侦探
detector	n.发现者,侦察器,探测器,检波器,检电器
deteriorate	v.(使)恶化,(使)变坏
determine	v.决心,决定;确定,限定
develop	v.发展,开发,研制;显现,显影;发育,生长
deviate	v.(from)背离,偏离
device	n.装置,设备,仪表;方法,设计
devil	n.魔鬼
devise	vt.设计;发明;图谋;作出(计划);想出(办法)
devote	v.(to)奉献,致力
dew	n.露水
diagnose	vt.诊断(疾病)；判断(问题)
diagram	n.图表;图解
dial	n.钟(表)面,刻度盘,拨号盘 v.拨号,打电话
dialect	n.方言
dialog	n.(dialogue)对话,对白
diameter	n.直径
diamond	n.金钢石,钻石;菱形
diary	n.日记,日记簿
dictate	v.口授;(使)听写;指令,指示,命令;
dictation	n.听写,口述;命令
dictionary	n.词典,字典
die	vi.死，死亡；(草木)枯萎，凋谢；渴望
diet	n.饮食,食物
differ	v.(from)与…不同;(with)与…意见不同
difference	n.差别,差异,分歧
different	a.差异的,差异的,不同的
differentiate	v.区分,区别;(使)不同
difficult	a.困难的,艰难的
difficulty	n.困难,困境,难题
diffuse	v.扩散;传播 a.(文章等)冗长的,漫无边际的
dig	v.挖,掘
digest	vt.消化；领会，融会贯通 n.文摘，摘要
digital	a.数字的;数位的;手指的 n.数字
dignity	n.(举止,态度等的)庄严,端庄;尊贵,高贵
dilemma	n.(进退两难的)窘境,困境
diligent	a.勤奋的,用功的
dilute	vt.稀释，冲淡 a.稀释的，冲淡的
dim	a.暗淡的,模糊的
dimension	n.尺寸,尺度;维(数),度(数)
diminish	v.缩小,减少,递减
dine	v.吃饭,进餐
dinner	n.正餐,宴会
dip	v./n.浸,蘸
diploma	n.毕业文凭,学位证书
diplomatic	a.外交的,从事外交的;策略的,有手腕的
direct	a./ad.径直的(地) v.管理,指导;(at,to)指向
direction	n.方向,方位;指令,说明
directly	ad.直接地,径直地;马上,立即
director	n.指导者,主任,导演
directory	n.人名地址录,(电话)号码簿
dirt	n.污物,污垢
dirty	a.弄脏的;下流的 v.弄脏,玷污
disable	vt.使残废;使失去能力;丧失能力
disappear	v.不见,消失
disappoint	vt.失望；(希望等)破灭，挫败(计划等)
disaster	n.灾难,大祸;彻底的失败
disastrous	a.灾难性的
disc	n.(disk)圆盘,圆面,盘状物
discard	vt.丢弃，抛弃，遗弃
discern	v.认出,发现;辨别,识别
discharge	v./n.卸货,排出;发射,放(电);遣散,解雇
discipline	n.纪律,学科
disclose	v.揭示,泄露
discount	n.折扣；贴现(率) vt.打折扣;不重视
discourage	v.使泄气,使失去信心
discourse	n.论文;演说;谈话;话语 vi.讲述,著述
discover	v.发现,显示
discovery	n.发现;被发现的事物
discreet	a.(言行)谨慎的；慎重的；有判断力的
discrepancy	n.相差;差异;矛盾;
discriminate	v.区别,辨别;(against)有差别地对待,歧视
discuss	vt.讨论,商议
disease	n.疾病
disgrace	n.失宠,耻辱 v.使失宠;玷辱,使蒙羞
disguise	n./v.假装,伪装
disgust	n.厌恶,恶心 v.使厌恶
dish	n.碟子,盘子,菜肴
dislike	n./v.不喜欢,厌恶
dismay	n./v.(使)沮丧;(使)惊慌;(使)失望,(使)绝望
dismiss	v.免职,解雇,开除,解散
disorder	n.混乱,杂乱;骚乱;失调,疾病
disperse	v.(使)分散;(使)散开;疏散
displace	v.移置,转移;取代,置换
display	v./n.陈列,展览,显示(器)
disposal	n.处理,处置;布置,安排
dispose	v.(of)处理,处置;(for)布置,安排
disposition	n.排列,部署;性格倾向;倾向,意向
dispute	n.争论,争执 v.争论,辩论;反驳;怀疑;阻止
disregard	vt.不理会;忽视;漠视 n.忽视;漠视
disrupt	vt.使混乱，使崩溃，使分裂，使瓦解
dissipate	v.驱散;(使云、雾、疑虑等)消散;挥霍
dissolve	v.(使)溶解,(使)融化;解散,取消
distance	n.距离,间隔,远方,路程
distant	a.远的;遥远的;疏远的;不亲近的
distill	vt.蒸馏，用蒸馏法提取；吸取，提炼
distinct	a.清楚的,明显的;(from)截然不同的
distinction	n.区别,差别;级别;特性;声望;显赫
distinguish	v.(from)区别,辨别;辨认出;使杰出
distort	v.弄歪(嘴脸等);扭曲;歪曲(真理、事实等)
distract	v.分散;使分心;打扰;使心情烦乱
distress	n.苦恼;危难;不幸 v.使苦恼
distribute	v.分发;分配;分布;配(电);(over)散布
district	n.地区,行政区;美国各州的众议院选区
disturb	v.扰乱,妨碍,使不安
disturbance	n.动乱,骚乱,干扰
ditch	n.沟,沟渠,水沟
dive	v./n.潜水,跳水,俯冲
diverse	a.多种多样的,(from)不同的
diversion	n.转向,转移;牵制;解闷;娱乐
divert	vt.使转向，使改道；转移(注意力)；使娱乐
divide	v.分,划分,分开;分配;(by)除
dividend	n.红利，股息；回报，效益；被除数
divine	a.神的，神授的，天赐的；极好的，极美的
division	n.分,分割;部门,科,处;除法;分界线
divorce	v./n.离婚,分离
dizzy	a.头晕目眩的,眩晕的;(可能)使人头晕的
do	aux.v. vt.做，干，办，从事；引起 vi.行动
dock	n.船坞,码头
doctor	n.医生;博士 vt.授以博士学位;诊断;修改
doctorate	n.博士学位;博士头衔
document	n.公文,文献
documentary	a.文献的 n.记录片
dog	n.狗，雄兽 vt.尾随，跟踪
doll	n.玩偶,玩具娃娃
dollar	n.(美国,加拿大等国货币单位)美元,加元
domain	n.(活动,思想等)领域,范围;领地
dome	n.圆屋顶
domestic	a.家里的;本国的;驯养的
dominant	a.支配的,统治的,占优势的
dominate	v.支配,统治,控制;占优势
donate	vt.损赠(金钱等);赠予
donkey	n.驴子；蠢人；顽固的人
doom	n.厄运,劫数 v.注定,命定
door	n.门；门口，出入口；门状物；家；通道
doorway	n.门口
dorm	n.(dormitory)［美］［口］宿舍
dose	n.剂量,一服,一剂 v.(给…)服药
dot	n.点,圆点 v.在…上打点
doubt	n./v.怀疑,疑虑
dove	n.鸽子
down	ad.下；由大到小 prep.沿着…而下 a.向下的
downstairs	ad.在楼下,往楼下
downtown	ad.在城市的商业区 n./a.城市商业区(的)
downward	a.向下的 ad.(also downwards)向下,往下
doze	v./n.瞌睡;假寐
dozen	n.一打,十二个
draft	n.草稿,草案,草图 v.起草,草拟
drag	v.拖,拖曳
dragon	n.龙
drain	n.排水沟,阴沟;消耗,负担 v.排去,放干
drama	n.剧本,戏剧;戏剧性事件或场面
dramatic	a.戏剧的,戏剧性的;剧烈的
drastic	a.激烈的,严厉的;(药性等)猛烈的
draw	v.拉;画;汲取;引出;(to)挨近 n.平局;拖曳
drawback	n.欠缺,缺点;退还的关税
drawer	n.抽屉
drawing	n.绘图,图样
dread	v./n.恐惧,担心
dream	n./v.梦,梦想,幻想
dress	n.服装,童装,女装 v.穿衣,打扮
drift	v./n.漂,漂流(物)
drill	v.练习;操练;钻孔 n.操练;练习;钻孔(机)
drink	v.(drank,drunk)喝，饮 n.饮料；喝酒
drip	v.滴下,漏水 n.滴,水滴,点滴
drive	v.开(车);驱;驱动,把(钉,桩)打入 n.驾驶
driver	n.驾驶员
drop	n.滴;落下;微量 v.落下;下降;失落


drought	n.旱灾,干旱
drown	v.溺死,淹没
drug	n.药物;麻醉品;毒品;滞销货 v.下麻药;吸毒
drum	n.鼓;圆桶
drunk	a.醉酒的；(喻)陶醉的 n.酗酒者，醉汉
dry	a.干(旱)的；干渴的；枯燥 vt.使干燥，晒干
dubious	a.怀疑的，无把握的；有问题的，靠不住的
duck	n.鸭,鸭肉 v.迅速俯身;快速低头;躲避
due	a.(to)应支付的;(车,船等)预定应到达的
dull	a.单调的;迟钝的,愚笨的;不锋利的
dumb	a.哑的,无言的
dump	v.倾倒,倾卸 n.垃圾场
duplicate	n.复制品 v.复写,使加倍 a.复制的,二重的
durable	a.持久的,耐久的
duration	n.持久;期间;持续时间
during	prep.在…期间
dusk	n.薄暮,黄昏
dust	n.灰尘,尘土 v.拂,掸
duty	n.义务,责任;职务;税
dwarf	n.矮子，侏儒，矮小的动植物 vt.使…矮小
dwell	v.住,居留
dwelling	n.住宅,寓所
dye	n.染料 v.染,染色
dynamic	a.动力的,电动的;有生气的
dynasty	n.王朝,朝代
each	a./pron.各,各自的,每
eager	a.(for)渴望的,热切的
eagle	n.鹰
ear	n.耳，耳朵；听力，听觉；穗
early	a.早的,早期的,及早的 ad.早,在初期
earn	v.赚得,挣得,获得
earnest	a.热心的,诚挚的 n.热心;真挚;定金;认真
earth	n.地球；陆地；泥土，土壤；尘世，人间
earthquake	n.地震
ease	v.减轻;使舒适,使安心 n.容易;舒适,悠闲
east	n.东,东方,东部 a.东方的,东部的
Easter	n.复活节
eastern	a.东方的,东部的
easy	a.容易的，不费力的，安逸的，宽裕的
eat	vt.吃，喝 vi.吃饭，吃东西
ebb	vi.衰退，减退 n.处于低潮，处于衰退状态
eccentric	a.古怪的，怪癖的，异乎寻常的n.古怪的人
echo	v./n.回声,反响,共鸣
eclipse	n.日食,月食
ecology	n.生态学
economic	a.经济(上)的,经济学的
economical	a.节约的,经济的
economics	n.经济学,经济情况
economy	n.节约;经济
edge	n.边,棱;刀口,刃 v.侧身移动,挤进
edible	a.可食用的
edit	v.编辑,校订
edition	n.版,版本,版次
editor	n.编辑,编者
editorial	n.社论  a.社论的；编辑上的
educate	v.教育,培养,训练
education	n.教育,培养,训练
effect	n.结果;效果;影响;印象 vt.招致;实现;达到
effective	a.有效的,生效的;被实施的;给人深刻印象
efficiency	n.效率;功效
efficient	a.有效的,效率高的;有能力的,能胜任的
effort	n.努力;成就;艰难的尝试
egg	n.蛋; 卵; 卵形物
ego	n.自我，自负，利已主义；(心理学)自我意识
eight	num.八 pron.八(个，只...)
eighteen	num.十八，十八个
eighty	num./a.八十 pron.八十(个，只...)
either	ad.也(不) pron.两者之一 a.(两者中)任一的
eject	v.喷射,排出;驱逐
elaborate	v./a.精心制作(的);详细阐述(的)
elapse	vi．(时间)溜走；(光阴)逝去
elastic	a.弹性的 n.松紧带,橡皮圈
elbow	n.肘，(衣服的)肘部vt.用肘推，用肘挤
elder	a.年长的,资格老的 n.长辈
elderly	a.较老的，年长的n.[the～]到了晚年的人
elect	v.选举,推选;选择,作出选择
electric	a.电的,导电的,电动的
electrical	a.电的,电学的
electrician	n.电学家,电工
electricity	n.电,电流;电学
electron	n.电子
electronic	a.电子的
elegant	a.优雅的;端庄的;雅致的
element	n.元素;要素;成分;元件;自然环境
elementary	a.初步的;基本的;[化]元素的;自然力的
elephant	n.(动物)象
elevate	vt.举起,提拔,振奋,提升...的职位
elevator	n.电梯,升降机
eleven	num.十一 pron./a.十一(个，只...)
eligible	a.符合条件的;(尤指婚姻等)合适(意)的
eliminate	vt.除去;淘汰;排(删,消)除;削减(人员)
elite	n.<法>[集合名词]精华;精锐;中坚分子
eloquent	a.雄辩的,有说服力的;善辩的,口才流利的
else	ad.其它，另外，别的；[与or连用]否则
elsewhere	ad.在别处,向别处
e-mail	n.(electronic mail)电子信函，电子邮件
embark	v.(使)上船(或飞机,汽车等);着手,从事
embarrass	vt.使困窘,使局促不安;阻碍,麻烦
embassy	n.大使馆;大使及其随员
embed	vt.把…嵌(埋、插)入，扎牢；使深留脑中
embody	vt.具体表达,使具体化;包含,收录
embrace	v.拥抱;包含;包围;环绕;采用;接受
emerge	vt.显现,浮现;暴露;形成;
emergency	n.紧急情况,突然事件,非常时刻
emigrate	v.(反)immigrate;(to,from)自本国移居他
eminent	a.显赫的;杰出的;有名的;优良的
emit	vt.发出;放射;吐露;散发;发表;发行
emotion	n.情绪,情感,感情
emperor	n.皇帝
emphasis	n.强调,重点
emphasize	v.(emphasise)强调
empire	n.帝国
empirical	a.凭经验(或观察)的,经验主义的
employ	n./v.雇用;用,使用
employee	n.雇工,雇员
employer	n.雇主
employment	n.雇用;使用;工作,职业
empty	a.空的;空洞的 v.倒空,使成为空的
enable	v.使能够,使成为可能;授予权利或方法
enclose	v.围住,圈起,封入
enclosure	n.围住,圈起,封入,附件
encounter	n./v.遇到,遭遇
encourage	v.鼓励,怂恿
encyclopedia	n.(encyclopaedia)百科全书
end	n.末端，端，梢；目标，目的 v.终止，结束
endeavor	v./n.(endeavour)努力,尽力,力图
ending	n.结尾,结局
endow	vt.资助，捐赠；(with)给予，赋予
endurance	n.忍耐(力),持久(力),耐久(性)
endure	v.忍受,持久,持续
enemy	n.敌人，仇敌，反对者；敌人，敌军，敌国
energetic	a.精力旺盛的;积极的;有力的
energy	n.活力,精力;能,能量
enforce	v.实施,执行;强制;支持,坚持(要求,主张等)
engage	v.(in)从事,着手;约定;使订婚;保证;雇用
engagement	n.约会,约定;婚约,订婚
engine	n.发动机,引擎;火车头
engineer	n.工程师
engineering	n.工程学
enhance	v.提高,增强
enjoy	vt.享受…的乐趣；欣赏；喜爱
enlarge	vt.扩大,放大,增大
enlighten	v.启发,启蒙,教导
enormous	a.巨大的,庞大的
enough	a.(for)足够的 n.足够,充分 ad.足够地
enquire	v.(inquire)询问,打听;调查;查问
enrich	v.使富足;使肥沃;装饰;加料于;浓缩
enroll	v.(enrol)招收;登记;入学;参军;成为会员
ensure	v.确保,保证;使安全
entail	vt.使承担;需要;把(疾病等)遗传给;限定
enter	vt.进入；参加，加入；写入 vi.进去，进来
enterprise	n.事业,企(事)业单位;事业心,进取心
entertain	v.招待,款待;使娱乐;使欢乐;容纳,接受
entertainment	n.招待,款待;表演文娱节目
enthusiasm	n.热情,热心;狂热;积极性(for)
enthusiastic	a.热情的,热心的
entire	a.完全的,全部的,完整的
entitle	v.给以权利(或资格);给…称号(题名);授权
entity	n.实体;存在(物);组织,机构;本质
entrance	n.入口,门口;进入;入学,入会
entrepreneur	n.[法]企业家, 主办人
entry	n.进入,入口;通道;记载,条目
envelope	n.信封,信皮;封套
environment	n.环境,外界
envisage	v.想象，设想，展望，正视
envy	v./n.羡慕,忌妒
epidemic	a.流行性的;传染的 n.流行病;传播
episode	n.一段情节;片断;(连续剧的)一集
epoch	n.新纪元;时代;时期;【地质】世,纪,期
equal	a.相等的;胜任的n.相等的事务;对手v.等于
equality	n.同等;平等;相等;等式;等同性
equation	n.(数学)等式,方程式;(with)相等;均衡
equator	n.赤道
equip	v.(with)装备,配备;训练
equipment	n.设备,器材,装置;才能
equivalent	a.(to)相等的,等价的 n.相等物,等价物
era	n.时代,年代,阶段,纪元
erase	v.擦掉;删去;消磁
erect	v.树立,建立,使竖立 a.直立的,垂直的
erosion	n.腐蚀,磨损;削弱,减少
erroneous	a.错误的,不正确的
error	n.错误,过失
erupt	v.(尤指火山)爆发
escalate	v.(使)逐步增长(或发展)，(使)逐步升级
escape	n.逃跑,逃脱 v.逃跑;避开,避免
escort	vt.护送(卫)；陪同 n.警卫，护送者；仪仗兵
especially	ad.特别，尤其，格外；专门地，主要地
essay	n.文章,短文
essence	n.本质,实质
essential	a.本质的,基本的;净化的 n.本质;要素
establish	v.建立,设立;安置,使定居
establishment	n.建立,设立,建立的机构(或组织)
estate	n.房地产;不动产;所有权;地位;生活状况
esteem	n.尊敬，尊重 vt.尊重，敬重；把…看作
estimate	v./n.估计,估价;评估
eternal	n.永久的,永恒的
ethnic	a.种族的；人种学的
evacuate	vt.撤离，疏散，排泄，剥夺
evade	vt.逃避，回避；避开，躲避
evaluate	v.估价,评价;求…的值
evaporate	v.蒸发,挥发;沉淀;发射;消失
eve	n.(节日等的)前夜,前夕
even	ad.甚至(更) a.均匀的;平的;相等的；偶数的
evening	n.傍晚，黄昏，晚上
event	n.事件,事情
eventually	ad.终于,最后
ever	ad.曾经；永远；在任何时候；究竟
every	a.每一个的，每个的；每隔…的；全部的
everybody	pron.(everyone)每人，人人
everyday	adj.每日的，日常的
everyone	pron.(everybody)每人，人人，各人
everything	pron.每件事，一切；最重要的东西
everywhere	ad.到处，各处，无论何处
evidence	n.明显;显著;根据;证据;迹象
evident	a.明显的,明白的
evil	a.邪恶的,罪恶的 n.邪恶,罪恶
evoke	vt.唤起(回忆、感情等)；引起
evolution	n.进化,演变,发展,进展
evolve	v.(使)发展;(使)进化;(使)进展
exact	a.确切的,正确的,精确的
exaggerate	v.夸大,夸张
exam	n.(examination)考试,测验
examine	v.检查,调查;对…进行考试
example	n.例子,实例;模范,榜样
exceed	v.超过,胜过;越出
exceedingly	ad.极端地,非常
excel	vi.胜过其他;擅长 vt.胜过，优于
excellent	a.卓越的,极好的
except	prep.除…之外 v.除外;反对
exception	n.例外,除外;反对;异议
exceptional	a.例外的,异常的
excerpt	n./vt.摘录;引用
excess	a.过量的,额外的 n.过量;过剩;超额;无节制
excessive	a.过多的;过分的;额外
exchange	v./n.(for)交换,兑换;交流,交易;交换台
excite	v.刺激,使激动;激发,激励
excitement	n.刺激,激动,兴奋
exciting	a.令人兴奋的,使人激动的
exclaim	v.呼喊,惊叫,大声说
exclude	v.拒绝,把…排除在外,排斥
exclusive	a.独占的;排他的;孤高的;唯一的;高级的
excursion	n.短途旅行,游览;离题;[物理]偏移,漂移
excuse	v.原谅,宽恕,免除 n.借口,辩解
execute	v.实行;实施;执行;完成;履行;处死
executive	n.总经理,董事,行政负责人 a.执行的,实施的
exemplify	v.举例证明;示范;作...的范例[榜样]
exempt	a.免除的 v.免除 n.免税者;被免除义务者
exercise	n.练习,习题;训练,锻练 v.训练,锻练;行使
exert	v.尽(力),施加(压力等),努力
exhaust	v.使筋疲力尽,耗尽;抽完 n.排气装置;废气


exhibit	v.展出,陈列 n.展览品,陈列品
exhibition	n.展览会;陈列,展览
exile	n.流放；被流放者 vt.流放，放逐，把…充军
exist	v.存在;生存;生活
existence	n.存在,实在;生存,生活(方式)
exit	n.出口,通道
exotic	a.奇异的;异国情调的;外(国)来的
expand	v.(使)膨胀,(使)扩张;张开,展开
expansion	n.扩张,膨胀;张开,伸展
expect	v.预期;期望,指望
expectation	n.预期,期望,指望
expedition	n.远征(队),探险(队)
expel	v.把…开除;驱逐;排出;发射
expend	v.消费,花费
expenditure	n.花费;(时间,金钱等的)支出,消耗
expense	n.花费,消费,消耗
expensive	a.花费的,昂贵的
experience	n./vt.经验;经历;体验;阅历
experiment	n.实验;试验 v.(on)进行实验;做试验
experimental	a.实验(性)的,试验(性)的
expert	n.专家,能手 a.熟练的,有经验的;专门的
expertise	n.专门知识(或技能等),专长
expire	v.期满,(期限)终止;呼气;断气,死亡
explain	v.解释,说明
explanation	n.解释,说明
explicit	a.详述的,明确的;坦率的;显然的
explode	v.(使)爆炸,(使)爆发
exploit	v.开拓;开发;剥削 n.功绩[勋];业绩
explore	v.勘探,探测;探究,探索
explosion	n.爆炸,爆发
explosive	a.爆炸(性)的,爆发(性)的 n.爆炸物,炸药
export	v./n.输出,出口 n.出口商品
expose	v.(to)使暴露,受到;使曝光
exposure	n.暴露,揭露;方向;陈列;遗弃;照射量
express	v.表达,表示 a.特快的,快速的 n.快车,快运
expression	n.表达;表情;声调;腔调;榨出;措词;式;符号
exquisite	a.优美的，高雅的，精致的；剧烈的，异常的
extend	v.延长,延伸;扩充;给予;提供;估价
extension	n.延长;扩大;范围;大小;尺寸;电话分机
extensive	a.广大的,广阔的
extent	n.广度,宽度,长度;程度,限度
exterior	a.外部的,外面的 n.外部
external	a.外部的;客观的;外国的;表面的;[医]外用的
extinct	a.灭绝的;熄灭了的
extinguish	v.熄灭;消灭;结束;压制;使黯然失色;偿清
extra	a.额外的,附加的 n.附加物,额外的东西
extract	v./n.拔出,抽出;摘录 n.抽取物;精华;选集
extraordinary	a.非常的;格外的;意外的;离奇的;临时的
extravagant	a.奢侈的;过分的;(言行等)放肆的
extreme	a.末端的,尽头的;极度的 n.极端;最大程度
eye	n.眼(睛)；视力；眼力；监督vt.看，审视
eyebrow	n.眉毛
eyesight	n.视力
fable	n.寓言
fabric	n.织物;织品;结构;构造;建筑物
fabricate	v.捏造,编造(谎言,借口等);建造,制造
fabulous	a.极好的；极为巨大的；寓言中的，传说中的
face	n.脸,面貌;表情;正面 v.面对着;朝,面向
facilitate	v.使变得(更)容易;使便利;推动;帮助;处进
facility	n.灵巧,熟练;(pl.)设备,设施,便利条件
fact	n.事实,实际
factor	n.因素,要素
factory	n.工厂
faculty	n.才能;学院,系;(学院或系的)全体教学人员
fade	v.褪色;衰减,消失n.淡入(出)n.乏味(平淡)的
fail	v.失败,不及格;衰退,减弱
failure	n.失败,不及格;失败者;故障,失灵;未能
faint	a.微弱的;不明显的;暗淡的 n./v.昏倒;昏晕
fair	a.公平的,合理的;相当的 n.集市,交易会
fairly	ad.公正地,正当地;相当,还算
fairy	a.幻想中的;虚构的;优雅的 n.仙女;精灵
faith	n.信任,信用;信仰,信条
faithful	a.守信的,忠实的,如实的,可靠的
fake	n.假货，赝品 a.假的，冒充的 v.伪造；伪装
fall	v.跌倒;下降;减弱;坠落;变成,陷于 n.秋季
false	a.谬误的,虚伪的,伪造的,假的
fame	n.名声;名望;传说 vt使出名;传扬…的名
familiar	a.熟悉的;通晓的;亲近的 n.熟客;密友
family	n.家,家庭成员;氏族,家庭;族,科
famine	n.饥荒,饥馑
famous	a.著名的
fan	n.扇子,风扇;(影,球等)迷 v.扇,扇动,激起
fancy	n.爱好,迷恋 v.想象,幻想 a.花式的,奇特的
fantastic	a.(fantastical)奇异的,幻想的,异想天开的
fantasy	n.幻想，空想；空想的产物，幻想作品
far	a./ad.远，久远，遥远 ad.到…程度，…得多
fare	n.车费,船费;伙食;乘客 v.过活;进展;经营
farewell	int.再会,别了 n.告别
farm	n.农场,饲养场 v.种田,经营农牧业
farmer	n.农民,农场主
farther	ad.更远地,再往前地 a.更远的
fascinate	v.迷住,强烈吸引
fashion	n.流行式样(或货品),风尚,风气;样子,方式
fashionable	a.流行的,时髦的
fast	a.快的，迅速的；坚固的 ad.紧紧地；迅速地
fasten	v.扎牢,使固定
fat	a.多脂肪的，肥胖的；丰厚的n.脂肪，肥肉
fatal	a.致命的,毁灭性的
fate	n.命运
father	n.父亲；创始人，发明者；(Father)神父
fatigue	n./v.(使)疲劳
fault	n.过失,过错;缺点,毛病
faulty	a.有错误的，有缺点的，不完善的
favor	n.(favour)好感;喜爱;关切v.赞成,支持,偏爱
favorable	a.(favourable)赞许的,有利的,讨人喜欢的
favorite	n.(favourite)最喜欢的人或物 a.喜爱的
fax	n./v.传真(机)
fear	n.害怕，恐惧；危险vt.畏惧，害怕，担心
fearful	a.可怕的，吓人的；害怕，担心，惊恐
feasible	a.可行的;切实可行的;行得通的;可用的
feast	n.节日;宴会
feat	n.功绩，伟业，技艺
feather	n.羽毛
feature	n.特征;容貌;特色;特写 v.以...为特色
February	n.二月
federal	a.联邦的;联邦制的;联合的;同盟的
federation	n.同盟;联邦;联合;联盟;联合会
fee	n.费(会费,学费等);酬金
feeble	a.虚弱的,无力的
feed	v.(on,with)喂养,饲养;(with)向…供给
feedback	n.反馈;反应;回授
feel	v.触；认为 vi.摸上去有…感觉；摸索；觉得
